Date,Close Price,Volume,Open Price,High,Low,Year,Month,Day,DayOfWeek,IsWeekend,SMA_7,EMA_7,Volatility_7,Daily_Return,Close_Lag_1
2025-02-10,227.65,33115650.0,229.57,230.585,227.2,2025,2,10,0,0,230.135,231.3775,3.5143207024971304,-0.0213653168257244,232.62
2025-02-07,227.63,39707220.0,232.6,234.0,227.26,2025,2,7,4,0,229.29999999999998,230.44062499999998,2.8752217305800856,-8.78541620910056e-05,227.65
2025-02-06,233.22,29925350.0,231.285,233.8,230.425,2025,2,6,3,0,230.28,231.13546875,3.0582456844842727,0.024557395773843638,227.63
2025-02-05,232.47,39664990.0,228.53,232.67,228.27,2025,2,5,2,0,230.718,231.46910156250001,2.8238041716804703,-0.003215847697453089,233.22
2025-02-04,232.8,45067300.0,227.25,233.13,226.65,2025,2,4,1,0,231.06500000000003,231.801826171875,2.6648733553398056,0.0014195380049040196,232.47
2025-02-03,228.01,73063300.0,229.99,231.83,225.7,2025,2,3,0,0,230.62857142857143,230.85386962890624,2.6928140706420223,-0.020575601374570485,232.8
2025-01-31,236.0,101075100.0,247.19,247.19,233.44,2025,1,31,4,0,231.1114285714286,232.14040222167966,3.3357129601302598,0.035042322705144624,228.01
2025-01-30,237.59,55658280.0,238.665,240.79,237.21,2025,1,30,3,0,232.53142857142856,233.50280166625976,3.7111877190078024,0.006737288135593156,236.0
2025-01-29,239.36,45486100.0,234.12,239.855,234.01,2025,1,29,2,0,234.20714285714283,234.96710124969482,3.7768316275493703,0.007449808493623422,237.59
2025-01-28,238.26,75707570.0,230.85,240.19,230.81,2025,1,28,1,0,234.92714285714288,235.79032593727112,4.029250196110588,-0.004595588235294268,239.36
2025-01-27,229.86,94863420.0,224.02,232.15,223.98,2025,1,27,0,0,234.55428571428573,234.30774445295336,4.398377947769909,-0.03525560312263909,238.26
2025-01-24,222.78,54697910.0,224.78,225.63,221.41,2025,1,24,4,0,233.12285714285713,231.42580833971502,6.288716653090459,-0.030801357347950975,229.86
2025-01-23,223.66,60234760.0,224.74,227.03,222.3,2025,1,23,3,0,232.50142857142856,229.48435625478626,7.047326747477688,0.003950085285932214,222.78
2025-01-22,223.83,64126500.0,219.79,224.12,219.79,2025,1,22,2,0,230.76285714285714,228.07076719108971,7.525336568964254,0.0007600822677278352,223.66
2025-01-21,222.64,98070430.0,224.0,224.42,219.38,2025,1,21,1,0,228.62714285714287,226.71307539331727,7.384963810079967,-0.005316534870214107,223.83
2025-01-17,229.98,68488300.0,232.115,232.29,228.48,2025,1,17,4,0,227.2871428571429,227.52980654498796,5.792134650500118,0.03296802012217026,222.64
2025-01-16,228.26,71759050.0,237.35,238.01,228.03,2025,1,16,3,0,225.8585714285714,227.71235490874096,3.3553461250738343,-0.007478911209670369,229.98
2025-01-15,237.87,39831970.0,234.635,238.96,234.43,2025,1,15,2,0,227.00285714285715,230.25176618155572,5.577444798130308,0.04210111276614392,228.26
2025-01-14,233.28,39435290.0,234.75,236.12,232.472,2025,1,14,1,0,228.50285714285715,231.0088246361668,5.663734675652701,-0.0192962542565267,237.87
2025-01-13,234.4,49630730.0,233.53,234.67,229.72,2025,1,13,0,0,230.03714285714287,231.8566184771251,5.587368833018882,0.004801097393690057,233.28
2025-01-10,236.85,61710860.0,240.01,240.16,233.0,2025,1,10,4,0,231.89714285714285,233.10496385784384,5.338247884483328,0.010452218430034188,234.4
2025-01-08,242.7,37628940.0,241.92,243.7123,240.05,2025,1,8,2,0,234.76285714285714,235.50372289338287,4.907513675598927,0.02469917669411026,236.85
2025-01-07,242.21,40855960.0,242.98,245.55,241.35,2025,1,7,1,0,236.51000000000002,237.18029217003715,5.094421785966808,-0.002018953440461435,242.7
2025-01-06,245.0,45045570.0,244.31,247.33,243.2,2025,1,6,0,0,238.90142857142857,239.13521912752788,4.4666147829253635,0.01151892985425862,242.21
2025-01-03,243.36,40244110.0,243.36,244.18,241.89,2025,1,3,4,0,239.68571428571428,240.1914143456459,4.729573120775453,-0.006693877551020355,245.0
2025-01-02,243.85,55740730.0,248.93,249.1,241.8201,2025,1,2,3,0,241.1957142857143,241.10606075923445,3.969898643302485,0.0020134779750162757,243.36
2024-12-31,250.42,39480720.0,252.44,253.28,249.43,2024,12,31,1,0,243.4842857142857,243.43454556942584,4.016702035015147,0.02694279270043065,243.85
2024-12-30,252.2,35557540.0,252.23,253.5,250.75,2024,12,30,0,0,245.67714285714285,245.6259091770694,3.9810581268706975,0.007108058461784195,250.42
2024-12-27,255.59,42355320.0,257.83,258.7,253.06,2024,12,27,4,0,247.51857142857142,248.11693188280205,5.176200113891161,0.013441712926248961,252.2
2024-12-26,259.02,27262980.0,258.19,260.1,257.63,2024,12,26,3,0,249.92000000000002,250.84269891210153,6.116810170886914,0.013419930357212673,255.59
2024-12-24,258.2,23234710.0,255.49,258.21,255.29,2024,12,24,1,0,251.80571428571426,252.68202418407617,6.376424957458051,-0.0031657787043470886,259.02
2024-12-23,255.27,40858770.0,254.77,255.65,253.45,2024,12,23,0,0,253.50714285714284,253.3290181380571,5.233863182155443,-0.011347792408985202,258.2
2024-12-20,254.49,147495300.0,248.04,255.0,245.69,2024,12,20,4,0,255.02714285714282,253.61926360354283,3.0521233826396004,-0.0030555882007285984,255.27
2024-12-19,249.79,60882260.0,247.5,252.0,247.0949,2024,12,19,3,0,254.93714285714285,252.66194770265713,3.215533725970764,-0.018468309167354424,254.49
2024-12-18,248.05,56774100.0,252.16,254.28,247.74,2024,12,18,2,0,254.34428571428572,251.50896077699286,4.072639836530308,-0.006965851315104632,249.79
2024-12-17,253.48,51356360.0,250.08,253.83,249.78,2024,12,17,1,0,254.04285714285717,252.00172058274467,4.043050474932953,0.02189074783309808,248.05
2024-12-16,251.04,51694750.0,247.99,251.38,247.65,2024,12,16,0,0,252.90285714285716,251.7612904370585,3.4934591943882545,-0.009626005996528297,253.48
2024-12-13,248.13,33155290.0,247.815,249.2902,246.24,2024,12,13,4,0,251.46428571428572,250.85346782779388,2.984950346559815,-0.011591778202676872,251.04
2024-12-12,247.96,32777530.0,246.89,248.74,245.68,2024,12,12,3,0,250.42000000000002,250.1301008708454,2.6963679274162815,-0.000685124733002862,248.13
2024-12-11,246.49,45205810.0,247.96,250.8,246.2601,2024,12,11,2,0,249.27714285714288,249.22007565313407,2.357949068475222,-0.005928375544442699,247.96
2024-12-10,247.77,36914810.0,246.89,248.21,245.34,2024,12,10,1,0,248.98857142857145,248.85755673985057,2.4078027921143557,0.00519290843441933,246.49
2024-12-09,246.75,44649230.0,241.83,247.24,241.75,2024,12,9,0,0,248.80285714285714,248.33066755488792,2.5388298767063113,-0.0041167211526819125,247.77
2024-12-06,242.84,36870620.0,242.905,244.63,242.08,2024,12,6,4,0,247.28285714285715,246.95800066616596,2.455644615205995,-0.01584599797365749,246.75
2024-12-05,243.04,40033880.0,243.99,244.54,242.13,2024,12,5,3,0,246.14000000000001,245.97850049962446,2.2702422778196896,0.0008235875473563414,242.84
2024-12-04,243.01,44383940.0,242.87,244.11,241.25,2024,12,4,2,0,245.40857142857143,245.23637537471834,2.3457722862732617,-0.00012343647136270341,243.04
2024-12-03,242.65,38861020.0,239.81,242.76,238.9,2024,12,3,1,0,244.65,244.58978153103874,2.2393376997079955,-0.0014814205176740813,243.01
